Province,Urban_Semester1,Urban_Semester2,Urban_Annual,Rural_Semester1,Rural_Semester2,Rural_Annual,UrbanRural_Semester1,UrbanRural_Semester2,UrbanRural_Annual,Year
SULAWESI TENGGARA,,,0.327,,,0.28,,,0.338,2008
GORONTALO,,,0.35,,,0.307,,,0.353,2008
SULAWESI BARAT,,,0.317,,,0.319,,,0.323,2008
MALUKU,,,0.3,,,0.272,,,0.324,2008
MALUKU UTARA,,,0.311,,,0.29,,,0.339,2008
PAPUA BARAT,,,0.272,,,0.298,,,0.326,2008
PAPUA BARAT DAYA,,,,,,,,,,2008
PAPUA,,,0.309,,,0.363,,,0.407,2008
PAPUA SELATAN,,,,,,,,,,2008
PAPUA TENGAH,,,,,,,,,,2008
PAPUA PEGUNUNGAN,,,,,,,,,,2008
INDONESIA,,,0.367,,,0.3,,,0.368,2008
ACEH,0.291,,,0.25,,,0.288,,,2009
SUMATERA UTARA,0.327,,,0.26,,,0.317,,,2009
SUMATERA BARAT,0.289,,,0.268,,,0.298,,,2009
RIAU,0.311,,,0.326,,,0.331,,,2009
JAMBI,0.276,,,0.245,,,0.269,,,2009
SUMATERA SELATAN,0.326,,,0.27,,,0.313,,,2009
BENGKULU,0.319,,,0.276,,,0.302,,,2009
LAMPUNG,0.39,,,0.296,,,0.353,,,2009
KEP. BANGKA BELITUNG,0.277,,,0.29,,,0.288,,,2009
KEP. RIAU,0.291,,,0.239,,,0.287,,,2009
DKI JAKARTA,0.356,,,,,,0.356,,,2009
JAWA BARAT,0.378,,,0.282,,,0.365,,,2009
JAWA TENGAH,0.331,,,0.274,,,0.319,,,2009
DI YOGYAKARTA,0.367,,,0.312,,,0.376,,,2009
JAWA TIMUR,0.333,,,0.278,,,0.334,,,2009
BANTEN,0.357,,,0.279,,,0.369,,,2009
BALI,0.316,,,0.256,,,0.315,,,2009
NUSA TENGGARA BARAT,0.398,,,0.299,,,0.354,,,2009
NUSA TENGGARA TIMUR,0.339,,,0.305,,,0.357,,,2009
KALIMANTAN BARAT,0.343,,,0.288,,,0.321,,,2009
KALIMANTAN TENGAH,0.29,,,0.262,,,0.293,,,2009
KALIMANTAN SELATAN,0.371,,,0.295,,,0.348,,,2009
KALIMANTAN TIMUR,0.355,,,0.283,,,0.379,,,2009
KALIMANTAN UTARA,,,,,,,,,,2009
SULAWESI UTARA,0.3,,,0.315,,,0.311,,,2009
SULAWESI TENGAH,0.336,,,0.311,,,0.338,,,2009
SULAWESI SELATAN,0.375,,,0.296,,,0.394,,,2009
SULAWESI TENGGARA,0.37,,,0.265,,,0.359,,,2009
GORONTALO,0.326,,,0.338,,,0.355,,,2009
SULAWESI BARAT,0.328,,,0.279,,,0.301,,,2009
MALUKU,0.319,,,0.265,,,0.312,,,2009
MALUKU UTARA,0.292,,,0.249,,,0.327,,,2009
PAPUA BARAT,0.259,,,0.327,,,0.353,,,2009
PAPUA BARAT DAYA,,,,,,,,,,2009
PAPUA,0.292,,,0.334,,,0.383,,,2009
PAPUA SELATAN,,,,,,,,,,2009
PAPUA TENGAH,,,,,,,,,,2009
PAPUA PEGUNUNGAN,,,,,,,,,,2009
INDONESIA,0.372,,,0.295,,,0.367,,,2009
ACEH,0.312,,,0.261,,,0.301,,,2010
SUMATERA UTARA,0.371,,,0.279,,,0.346,,,2010
SUMATERA BARAT,0.315,,,0.306,,,0.325,,,2010
RIAU,0.32,,,0.286,,,0.326,,,2010
JAMBI,0.301,,,0.293,,,0.304,,,2010
SUMATERA SELATAN,0.348,,,0.309,,,0.34,,,2010
BENGKULU,0.397,,,0.319,,,0.365,,,2010
LAMPUNG,0.397,,,0.309,,,0.36,,,2010
KEP. BANGKA BELITUNG,0.314,,,0.255,,,0.296,,,2010
KEP. RIAU,0.306,,,0.227,,,0.293,,,2010
DKI JAKARTA,0.361,,,,,,0.361,,,2010
JAWA BARAT,0.357,,,0.298,,,0.356,,,2010
JAWA TENGAH,0.357,,,0.297,,,0.341,,,2010
DI YOGYAKARTA,0.404,,,0.331,,,0.407,,,2010
JAWA TIMUR,0.335,,,0.287,,,0.337,,,2010
BANTEN,0.419,,,0.289,,,0.419,,,2010
BALI,0.37,,,0.313,,,0.366,,,2010
NUSA TENGGARA BARAT,0.444,,,0.328,,,0.396,,,2010
NUSA TENGGARA TIMUR,0.347,,,0.345,,,0.378,,,2010
KALIMANTAN BARAT,0.402,,,0.309,,,0.37,,,2010
KALIMANTAN TENGAH,0.298,,,0.295,,,0.304,,,2010
KALIMANTAN SELATAN,0.394,,,0.306,,,0.366,,,2010
KALIMANTAN TIMUR,0.344,,,0.31,,,0.368,,,2010
KALIMANTAN UTARA,,,,,,,,,,2010
SULAWESI UTARA,0.379,,,0.34,,,0.37,,,2010
SULAWESI TENGAH,0.371,,,0.334,,,0.366,,,2010
SULAWESI SELATAN,0.37,,,0.361,,,0.404,,,2010
SULAWESI TENGGARA,0.413,,,0.351,,,0.421,,,2010
GORONTALO,0.374,,,0.438,,,0.431,,,2010
SULAWESI BARAT,0.383,,,0.33,,,0.364,,,2010
MALUKU,0.303,,,0.322,,,0.329,,,2010
MALUKU UTARA,0.29,,,0.278,,,0.336,,,2010
PAPUA BARAT,0.291,,,0.346,,,0.381,,,2010
PAPUA BARAT DAYA,,,,,,,,,,2010
PAPUA,0.294,,,0.408,,,0.414,,,2010
PAPUA SELATAN,,,,,,,,,,2010
PAPUA TENGAH,,,,,,,,,,2010
PAPUA PEGUNUNGAN,,,,,,,,,,2010
INDONESIA,0.382,,,0.315,,,0.378,,,2010
ACEH,0.353,0.37,,0.28,0.269,,0.326,0.326,,2011
SUMATERA UTARA,0.361,0.306,,0.319,0.289,,0.347,0.305,,2011
SUMATERA BARAT,0.353,0.349,,0.326,0.298,,0.353,0.332,,2011
RIAU,0.378,0.332,,0.329,0.296,,0.363,0.324,,2011
JAMBI,0.349,0.335,,0.324,0.348,,0.34,0.348,,2011
SUMATERA SELATAN,0.34,0.416,,0.334,0.365,,0.342,0.401,,2011
BENGKULU,0.386,0.402,,0.332,0.34,,0.36,0.372,,2011
LAMPUNG,0.373,0.321,,0.34,0.309,,0.366,0.322,,2011
KEP. BANGKA BELITUNG,0.314,0.339,,0.284,0.297,,0.301,0.32,,2011
KEP. RIAU,0.312,0.382,,0.299,0.31,,0.317,0.379,,2011
DKI JAKARTA,0.438,0.402,,,,,0.438,0.402,,2011
JAWA BARAT,0.422,0.39,,0.316,0.297,,0.411,0.38,,2011
JAWA TENGAH,0.414,0.372,,0.335,0.324,,0.383,0.357,,2011
DI YOGYAKARTA,0.39,0.418,,0.387,0.358,,0.401,0.423,,2011
JAWA TIMUR,0.387,0.358,,0.303,0.298,,0.374,0.351,,2011
BANTEN,0.404,0.388,,0.295,0.321,,0.404,0.394,,2011
BALI,0.409,0.384,,0.337,0.328,,0.407,0.387,,2011
NUSA TENGGARA BARAT,0.38,0.396,,0.336,0.313,,0.363,0.366,,2011
NUSA TENGGARA TIMUR,0.357,0.335,,0.312,0.285,,0.365,0.33,,2011
KALIMANTAN BARAT,0.417,0.376,,0.358,0.336,,0.401,0.363,,2011
KALIMANTAN TENGAH,0.339,0.353,,0.32,0.317,,0.338,0.334,,2011
KALIMANTAN SELATAN,0.387,0.358,,0.324,0.307,,0.37,0.353,,2011
KALIMANTAN TIMUR,0.366,0.296,,0.333,0.299,,0.375,0.323,,2011
KALIMANTAN UTARA,,,,,,,,,,2011
SULAWESI UTARA,0.401,0.382,,0.348,0.296,,0.386,0.358,,2011
SULAWESI TENGAH,0.389,0.455,,0.349,0.307,,0.376,0.388,,2011
SULAWESI SELATAN,0.395,0.442,,0.371,0.356,,0.405,0.427,,2011
SULAWESI TENGGARA,0.406,0.367,,0.363,0.373,,0.413,0.389,,2011
GORONTALO,0.418,0.396,,0.458,0.384,,0.459,0.4,,2011
SULAWESI BARAT,0.374,0.413,,0.313,0.35,,0.342,0.371,,2011
MALUKU,0.402,0.34,,0.389,0.337,,0.412,0.356,,2011
MALUKU UTARA,0.316,0.28,,0.292,0.289,,0.334,0.343,,2011
PAPUA BARAT,0.335,0.285,,0.414,0.379,,0.416,0.374,,2011
PAPUA BARAT DAYA,,,,,,,,,,2011
PAPUA,0.335,0.306,,0.378,0.342,,0.419,0.384,,2011
PAPUA SELATAN,,,,,,,,,,2011
PAPUA TENGAH,,,,,,,,,,2011
PAPUA PEGUNUNGAN,,,,,,,,,,2011
INDONESIA,0.422,0.396,,0.34,0.329,,0.41,0.388,,2011
ACEH,0.337,0.407,,0.271,0.26,,0.32,0.341,,2012
SUMATERA UTARA,0.334,0.351,,0.318,0.294,,0.332,0.331,,2012
SUMATERA BARAT,0.38,0.36,,0.331,0.321,,0.364,0.355,,2012
RIAU,0.414,0.396,,0.355,0.332,,0.404,0.383,,2012
JAMBI,0.364,0.402,,0.317,0.322,,0.345,0.359,,2012
SUMATERA SELATAN,0.448,0.415,,0.331,0.341,,0.396,0.397,,2012
BENGKULU,0.39,0.391,,0.317,0.322,,0.354,0.36,,2012
LAMPUNG,0.396,0.357,,0.318,0.32,,0.358,0.356,,2012
KEP. BANGKA BELITUNG,0.3,0.31,,0.272,0.285,,0.294,0.311,,2012
KEP. RIAU,0.349,0.397,,0.328,0.315,,0.354,0.393,,2012
DKI JAKARTA,0.421,0.437,,,,,0.421,0.437,,2012
JAWA BARAT,0.423,0.431,,0.296,0.293,,0.412,0.422,,2012
JAWA TENGAH,0.409,0.391,,0.323,0.319,,0.383,0.372,,2012
DI YOGYAKARTA,0.435,0.451,,0.382,0.392,,0.434,0.449,,2012
JAWA TIMUR,0.385,0.384,,0.273,0.268,,0.357,0.362,,2012
BANTEN,0.387,0.381,,0.303,0.308,,0.387,0.384,,2012
BALI,0.459,0.398,,0.342,0.346,,0.431,0.397,,2012
NUSA TENGGARA BARAT,0.39,0.389,,0.291,0.312,,0.348,0.354,,2012
NUSA TENGGARA TIMUR,0.379,0.384,,0.289,0.285,,0.356,0.358,,2012
KALIMANTAN BARAT,0.434,0.442,,0.308,0.321,,0.381,0.395,,2012
KALIMANTAN TENGAH,0.367,0.37,,0.287,0.279,,0.333,0.332,,2012
KALIMANTAN SELATAN,0.404,0.374,,0.309,0.309,,0.378,0.364,,2012
KALIMANTAN TIMUR,0.353,0.352,,0.309,0.3,,0.362,0.363,,2012
KALIMANTAN UTARA,,,,,,,,,,2012
SULAWESI UTARA,0.455,0.434,,0.364,0.383,,0.427,0.43,,2012
SULAWESI TENGAH,0.399,0.398,,0.359,0.337,,0.4,0.387,,2012
SULAWESI SELATAN,0.407,0.42,,0.378,0.378,,0.41,0.418,,2012
SULAWESI TENGGARA,0.417,0.404,,0.36,0.358,,0.404,0.403,,2012
GORONTALO,0.398,0.365,,0.439,0.419,,0.437,0.413,,2012
SULAWESI BARAT,0.354,0.449,,0.28,0.276,,0.315,0.335,,2012
MALUKU,0.373,0.387,,0.344,0.328,,0.383,0.382,,2012
MALUKU UTARA,0.327,0.282,,0.287,0.251,,0.338,0.306,,2012
PAPUA BARAT,0.42,0.341,,0.362,0.357,,0.425,0.407,,2012
PAPUA BARAT DAYA,,,,,,,,,,2012
PAPUA,0.384,0.392,,0.389,0.372,,0.439,0.446,,2012
PAPUA SELATAN,,,,,,,,,,2012
PAPUA TENGAH,,,,,,,,,,2012
PAPUA PEGUNUNGAN,,,,,,,,,,2012
INDONESIA,0.425,0.425,,0.33,0.327,,0.41,0.413,,2012
ACEH,0.404,0.382,,0.256,0.254,,0.341,0.331,,2013
SUMATERA UTARA,0.386,0.355,,0.305,0.281,,0.354,0.328,,2013
SUMATERA BARAT,0.397,0.383,,0.309,0.288,,0.363,0.351,,2013
RIAU,0.398,0.437,,0.316,0.323,,0.374,0.393,,2013
JAMBI,0.383,0.347,,0.313,0.296,,0.348,0.327,,2013
SUMATERA SELATAN,0.409,0.41,,0.329,0.318,,0.383,0.375,,2013
BENGKULU,0.432,0.411,,0.337,0.326,,0.386,0.372,,2013
LAMPUNG,0.412,0.42,,0.292,0.291,,0.356,0.356,,2013
KEP. BANGKA BELITUNG,0.325,0.353,,0.268,0.239,,0.313,0.307,,2013
KEP. RIAU,0.359,0.379,,0.307,0.305,,0.362,0.38,,2013
DKI JAKARTA,0.433,0.404,,,,,0.433,0.404,,2013
JAWA BARAT,0.423,0.424,,0.271,0.299,,0.411,0.406,,2013
JAWA TENGAH,0.421,0.404,,0.32,0.359,,0.387,0.39,,2013
DI YOGYAKARTA,0.45,0.42,,0.349,0.343,,0.439,0.416,,2013
JAWA TIMUR,0.387,0.386,,0.285,0.309,,0.364,0.368,,2013
BANTEN,0.402,0.376,,0.287,0.276,,0.399,0.38,,2013
BALI,0.419,0.441,,0.302,0.384,,0.403,0.44,,2013
NUSA TENGGARA BARAT,0.398,0.398,,0.323,0.281,,0.364,0.349,,2013
NUSA TENGGARA TIMUR,0.36,0.373,,0.268,0.255,,0.352,0.344,,2013
KALIMANTAN BARAT,0.439,0.446,,0.323,0.302,,0.396,0.384,,2013
KALIMANTAN TENGAH,0.403,0.42,,0.284,0.3,,0.35,0.358,,2013
KALIMANTAN SELATAN,0.386,0.402,,0.282,0.265,,0.359,0.356,,2013
KALIMANTAN TIMUR,0.369,0.361,,0.279,0.283,,0.371,0.366,,2013
KALIMANTAN UTARA,,,,,,,,,,2013
SULAWESI UTARA,0.425,0.475,,0.38,0.385,,0.422,0.446,,2013
SULAWESI TENGAH,0.445,0.434,,0.351,0.325,,0.407,0.391,,2013
SULAWESI SELATAN,0.443,0.457,,0.374,0.365,,0.429,0.432,,2013
SULAWESI TENGGARA,0.459,0.409,,0.368,0.332,,0.426,0.391,,2013
GORONTALO,0.385,0.443,,0.441,0.428,,0.437,0.445,,2013
SULAWESI BARAT,0.428,0.375,,0.308,0.295,,0.349,0.324,,2013
MALUKU,0.356,0.348,,0.321,0.286,,0.37,0.347,,2013
MALUKU UTARA,0.282,0.293,,0.255,0.266,,0.318,0.32,,2013
PAPUA BARAT,0.391,0.402,,0.388,0.364,,0.431,0.418,,2013
PAPUA BARAT DAYA,,,,,,,,,,2013
PAPUA,0.409,0.426,,0.367,0.354,,0.442,0.441,,2013
PAPUA SELATAN,,,,,,,,,,2013
PAPUA TENGAH,,,,,,,,,,2013
PAPUA PEGUNUNGAN,,,,,,,,,,2013
INDONESIA,0.431,0.424,,0.32,0.324,,0.413,0.406,,2013
ACEH,0.358,0.38,,0.259,0.277,,0.325,0.337,,2014
SUMATERA UTARA,0.346,0.329,,0.274,0.282,,0.321,0.31,,2014
SUMATERA BARAT,0.338,0.354,,0.295,0.28,,0.334,0.332,,2014
RIAU,0.389,0.405,,0.276,0.324,,0.353,0.379,,2014
JAMBI,0.314,0.348,,0.316,0.321,,0.329,0.342,,2014
SUMATERA SELATAN,0.438,0.399,,0.316,0.317,,0.399,0.381,,2014
BENGKULU,0.404,0.381,,0.305,0.33,,0.356,0.355,,2014
LAMPUNG,0.4,0.38,,0.29,0.283,,0.347,0.331,,2014
KEP. BANGKA BELITUNG,0.316,0.313,,0.273,0.252,,0.303,0.295,,2014
KEP. RIAU,0.404,0.433,,0.293,0.31,,0.402,0.437,,2014
DKI JAKARTA,0.431,0.436,,,,,0.431,0.436,,2014
JAWA BARAT,0.433,0.412,,0.301,0.294,,0.413,0.398,,2014
JAWA TENGAH,0.402,0.407,,0.334,0.359,,0.376,0.388,,2014
DI YOGYAKARTA,0.444,0.444,,0.299,0.378,,0.419,0.435,,2014
JAWA TIMUR,0.391,0.428,,0.31,0.339,,0.369,0.403,,2014
BANTEN,0.401,0.435,,0.28,0.294,,0.395,0.424,,2014
BALI,0.429,0.449,,0.315,0.337,,0.415,0.442,,2014
NUSA TENGGARA BARAT,0.426,0.445,,0.307,0.306,,0.377,0.391,,2014
NUSA TENGGARA TIMUR,0.345,0.377,,0.279,0.281,,0.355,0.355,,2014
KALIMANTAN BARAT,0.423,0.415,,0.317,0.356,,0.391,0.402,,2014
KALIMANTAN TENGAH,0.419,0.397,,0.287,0.327,,0.35,0.365,,2014
KALIMANTAN SELATAN,0.388,0.338,,0.302,0.293,,0.359,0.326,,2014
KALIMANTAN TIMUR,0.336,0.362,,0.287,0.295,,0.348,0.361,,2014
KALIMANTAN UTARA,,,,,,,,,,2014
SULAWESI UTARA,0.464,0.452,,0.353,0.366,,0.424,0.436,,2014
SULAWESI TENGAH,0.406,0.406,,0.305,0.283,,0.372,0.352,,2014
SULAWESI SELATAN,0.436,0.429,,0.373,0.429,,0.425,0.448,,2014
SULAWESI TENGGARA,0.454,0.426,,0.342,0.36,,0.409,0.399,,2014
GORONTALO,0.409,0.445,,0.392,0.444,,0.412,0.453,,2014
SULAWESI BARAT,0.329,0.428,,0.349,0.344,,0.352,0.378,,2014
MALUKU,0.338,0.307,,0.31,0.293,,0.351,0.33,,2014
MALUKU UTARA,0.335,0.354,,0.264,0.264,,0.325,0.322,,2014
PAPUA BARAT,0.437,0.373,,0.391,0.355,,0.439,0.405,,2014
PAPUA BARAT DAYA,,,,,,,,,,2014
PAPUA,0.35,0.4,,0.331,0.384,,0.408,0.459,,2014
PAPUA SELATAN,,,,,,,,,,2014
PAPUA TENGAH,,,,,,,,,,2014
PAPUA PEGUNUNGAN,,,,,,,,,,2014
INDONESIA,0.428,0.433,,0.319,0.336,,0.406,0.414,,2014
ACEH,0.367,0.368,,0.292,0.293,,0.334,0.339,,2015
SUMATERA UTARA,0.36,0.332,,0.296,0.285,,0.336,0.326,,2015
SUMATERA BARAT,0.358,0.325,,0.304,0.28,,0.342,0.319,,2015
RIAU,0.392,0.385,,0.328,0.33,,0.364,0.366,,2015
JAMBI,0.381,0.354,,0.339,0.319,,0.361,0.344,,2015
SUMATERA SELATAN,0.39,0.354,,0.314,0.286,,0.36,0.334,,2015
BENGKULU,0.405,0.398,,0.345,0.338,,0.376,0.371,,2015
LAMPUNG,0.403,0.399,,0.345,0.313,,0.376,0.352,,2015
KEP. BANGKA BELITUNG,0.291,0.284,,0.263,0.259,,0.283,0.275,,2015
KEP. RIAU,0.361,0.333,,0.293,0.283,,0.364,0.339,,2015
DKI JAKARTA,0.431,0.421,,,,,0.431,0.421,,2015
JAWA BARAT,0.433,0.446,,0.316,0.31,,0.415,0.426,,2015
JAWA TENGAH,0.42,0.402,,0.326,0.344,,0.382,0.382,,2015
DI YOGYAKARTA,0.443,0.428,,0.334,0.332,,0.433,0.42,,2015
JAWA TIMUR,0.442,0.428,,0.344,0.327,,0.415,0.403,,2015
BANTEN,0.411,0.39,,0.269,0.261,,0.401,0.386,,2015
BALI,0.382,0.406,,0.332,0.35,,0.377,0.399,,2015
NUSA TENGGARA BARAT,0.399,0.376,,0.333,0.342,,0.368,0.36,,2015
NUSA TENGGARA TIMUR,0.332,0.301,,0.288,0.303,,0.339,0.348,,2015
KALIMANTAN BARAT,0.354,0.361,,0.301,0.286,,0.334,0.33,,2015
KALIMANTAN TENGAH,0.366,0.34,,0.293,0.268,,0.326,0.3,,2015
KALIMANTAN SELATAN,0.377,0.374,,0.299,0.282,,0.353,0.334,,2015
KALIMANTAN TIMUR,0.313,0.319,,0.293,0.273,,0.316,0.315,,2015
KALIMANTAN UTARA,0.298,0.322,,0.27,0.282,,0.294,0.314,,2015
SULAWESI UTARA,0.386,0.356,,0.324,0.345,,0.368,0.366,,2015
SULAWESI TENGAH,0.425,0.415,,0.329,0.303,,0.374,0.37,,2015
SULAWESI SELATAN,0.421,0.386,,0.38,0.346,,0.424,0.404,,2015
SULAWESI TENGGARA,0.414,0.411,,0.369,0.355,,0.399,0.381,,2015
GORONTALO,0.423,0.391,,0.369,0.366,,0.42,0.401,,2015
SULAWESI BARAT,0.395,0.383,,0.348,0.339,,0.363,0.362,,2015
MALUKU,0.312,0.328,,0.323,0.307,,0.34,0.338,,2015
MALUKU UTARA,0.282,0.315,,0.263,0.256,,0.28,0.286,,2015
PAPUA BARAT,0.343,0.349,,0.476,0.461,,0.44,0.428,,2015
PAPUA BARAT DAYA,,,,,,,,,,2015
PAPUA,0.339,0.347,,0.38,0.387,,0.421,0.392,,2015
PAPUA SELATAN,,,,,,,,,,2015
PAPUA TENGAH,,,,,,,,,,2015
PAPUA PEGUNUNGAN,,,,,,,,,,2015
INDONESIA,0.428,0.419,,0.334,0.329,,0.408,0.402,,2015
ACEH,0.343,0.362,,0.288,0.296,,0.333,0.341,,2016
SUMATERA UTARA,0.334,0.333,,0.282,0.27,,0.319,0.312,,2016
SUMATERA BARAT,0.353,0.323,,0.288,0.267,,0.331,0.312,,2016
RIAU,0.369,0.368,,0.309,0.309,,0.347,0.347,,2016
JAMBI,0.377,0.403,,0.313,0.292,,0.349,0.346,,2016
SUMATERA SELATAN,0.373,0.397,,0.293,0.306,,0.348,0.362,,2016
BENGKULU,0.385,0.405,,0.302,0.296,,0.357,0.354,,2016
LAMPUNG,0.393,0.384,,0.33,0.311,,0.364,0.358,,2016
KEP. BANGKA BELITUNG,0.289,0.318,,0.24,0.239,,0.275,0.288,,2016
KEP. RIAU,0.351,0.346,,0.284,0.264,,0.354,0.352,,2016
DKI JAKARTA,0.411,0.397,,,,,0.411,0.397,,2016
JAWA BARAT,0.423,0.412,,0.317,0.31,,0.413,0.402,,2016
JAWA TENGAH,0.381,0.382,,0.323,0.313,,0.366,0.357,,2016
